neighborhood,neighborhood_apartment_area_price,neighborhood_house_area_price
Acupe de Brotas,,900.0
Alphaville,10384.615384615385,
Alphaville I,9112.14953271028,
Alto da Terezinha,,987.4651810584958
Alto do Cabrito,,775.5775577557756
Alto do Coqueirinho,,565.2173913043479
Alto do Itaigara,7865.168539325843,
Amaralina,,1127.247579529737
Areia Branca,2783.720930232558,642.8571428571429
Arenoso,,752.4916943521595
Armação,7751.515151515152,
Arraial do Retiro,,1396.6942148760331
Bairro da Paz,,963.0769230769231
Banco Dos Ingleses,5113.636363636364,
Barbalho,,1808.2191780821918
Barra,4403.137254901961,
Barris,2925.0,750.0
Boa Viagem,,926.3157894736842
Boa Vista de Sao Caetano,,824.21875
Boa Vista do Lobato,,1008.0645161290323
Boca da Mata,,869.9059561128527
Boca da Mata de Valeria,800.0,
Boca do Rio,,1010.9179134654266
Bonfim,,1268.5258964143427
Brotas,3951.1111111111113,871.559633027523
Cabula,3360.0,849.4208494208494
Cabula VI,2100.0,857.0143884892086
Caixa D´Água,,991.4236706689537
Cajazeiras V,1216.4948453608247,1019.108280254777
Cajazeiras VI,,1000.0
Cajazeiras VIII,,983.8709677419355
Cajazeiras X,1166.6666666666667,801.8804566823371
Cajazeiras XI,2210.909090909091,891.8918918918919
Calabetao,,736.4341085271318
Caminho Das Árvores,8476.190476190477,708.3333333333334
Caminho de Areia,3297.872340425532,1342.062193126023
Campinas de Pirajá,,833.3333333333334
Campo Grande,,1000.0
Canabrava,2887.6706827309235,730.6590257879656
Candeal,4927.027027027027,946.5648854961833
Capelinha,,619.4690265486726
Cassange,4870.888888888889,788.6178861788618
Castelo Branco,,1066.348195329087
Centro,,750.0
Cidade Jardim,6811.209439528024,
Cidade Nova,,797.7883096366509
Comércio,,522.7272727272727
Cosme de Farias,,954.8796147672552
Costa Azul,3704.2881944444443,
Coutos,,869.0176322418137
Daniel Lisboa,4444.444444444444,901.9354838709677
Dois de Julho,,702.8571428571429
Dom Avelar,,749.8057498057498
Doron,,797.1311475409836
Engenheiro Velho Da Federação,,1291.970802919708
Engenheiro Velho De Brotas,2244.0944881889764,
Engenho Velho da Federação,,770.3488372093024
Engenho Velho de Brotas,6400.0,901.5212169735788
Engomadeira,,734.3358395989975
Escada,,856.5737051792829
Fazenda Coutos,,1009.9715099715099
Fazenda Grande I,,813.664596273292
Fazenda Grande II,,750.0
Fazenda Grande IV,,963.5416666666666
Fazenda Grande do Retiro,1506.0240963855422,927.536231884058
Federação,3639.023668639053,783.8983050847457
Garcia,,1100.0
Graça,7195.121951219512,
Horto Bela Vista,7142.857142857143,
Horto Florestal,8592.307692307691,
Iapi,1931.111111111111,871.8199608610568
Ilha Amarela,,1044.7761194029852
Imbuí,6135.768435561681,1657.142857142857
Itacaranha,,1428.5714285714287
Itaigara,5224.489795918367,
Itapuã,4190.368852459016,1288.6522462562396
Jaguaribe,16487.603305785124,1463.4146341463415
Jaguaripe I,,750.0
Jardim Apipema,8830.409356725146,
Jardim Nova Esperança,,625.0
Jardim Placaford,,3122.5296442687745
Jardim das Margaridas,3482.0717131474103,1666.6666666666667
Liberdade,,1082.6833073322932
Lobato,,953.1590413943355
Loteamento Aquarius,7847.533632286995,
Luís Anselmo,3698.0,1688.3116883116884
Macaubas,,2166.6666666666665
Machado,,424.24242424242425
Marechal Rondon,,785.1851851851852
Mares,,1333.3333333333333
Massaranduba,,1064.1025641025642
Mata Escura,,1034.8583877995643
Matatu,4621.764705882353,1070.4225352112676
Monte Serrat,,1260.0321027287318
Mussurunga I,2305.194805194805,1227.6590636254502
Narandiba,,1012.0481927710844
Nazaré,2243.2432432432433,1501.103752759382
Nordeste,,984.7715736040609
Nova Brasilia De Itapua,,1354.4668587896253
Nova Brasília,2166.6666666666665,
Novo Horizonte,,869.5652173913044
Novo Marotinho,,755.3956834532374
Ondina,6790.123456790124,
Paralela,7583.306451612903,
Paripe,,864.5309734513274
Parque Bela Vista,1976.2237762237762,1000.0
Patamares,9099.73264781491,1866.6666666666667
Pau Miúdo,,734.7328244274809
Pau da Lima,,922.0
Periperi,,934.1085271317829
Pernambués,3648.5130111524163,910.0817438692098
Pero Vaz,,841.3461538461538
Piatã,6921.176470588235,1685.6492027334853
Pirajá,2553.191489361702,875.3086419753087
Pituaçu,8301.88679245283,1411.111111111111
Pituba,6889.562764456981,1125.0
Plataforma,1773.5849056603774,816.3956639566395
Praia Grande,,972.6027397260274
Praia do Flamengo,5671.567164179104,
Resgate,2500.0,1179.110251450677
Retiro,,1259.8425196850394
Ribeira,,1058.8762571053783
Rio Sena,,842.4908424908425
Rio Vermelho,4316.239316239316,753.968253968254
Roma,,973.6842105263158
Saboeiro,2916.6666666666665,784.1530054644809
Santa Cruz,,725.8064516129032
Santa Mônica,,845.7249070631971
Santa Teresa,6749.62962962963,
Santa Tereza,7037.037037037037,
Santo Antonio,,2127.659574468085
Sao Caetano,1000.0,867.5675675675676
Sao Joao do Cabrito,,717.8770949720671
Sao Rafael,4699.248120300752,1800.0
Sao Tome,,791.7383820998278
Sete de Abril,625.0,
Stella Maris,4580.419580419581,2717.614814814815
Stiep,5529.715762273901,
Sussuarana,2400.0,1307.8556263269638
São Cristóvão,3263.6363636363635,1025.179856115108
São Gonçalo,,915.0805270863837
São Marcos,2886.1788617886177,793.9262472885033
Tancredo Neves,,734.4632768361582
Tororó,,1086.4150943396226
Trobogy,5879.807692307692,
Uruguai,,888.6328725038402
Vale das Pedrinhas,,928.5714285714286
Valéria,1347.8260869565217,872.48322147651
Vila Laura,5328.467153284671,1000.0
Vila Ruy Barbosa,,578.9473684210526
Águas Claras,,804.4444444444445
